"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.318523490E-1,2.332935333E-1,-6.121860817E-2,3.585672379E-2,2.438427676E-1
1.368163590E-1,1.448917389E-2,-6.250673532E-2,3.852176666E-2,7.483952584E-2
1.417674530E-1,-1.524949074E-1,-3.204428032E-2,-1.634955406E-1,2.258590810E-1
1.467204740E-1,-1.362714767E-1,-5.562457442E-2,-3.676705360E-1,3.960374120E-1
1.516768280E-1,3.219890594E-2,-8.504031599E-2,-4.880609512E-1,4.964595824E-1
1.566376610E-1,1.662225723E-1,-4.251535982E-2,-2.334303856E-1,2.897019922E-1
1.616022440E-1,1.824884415E-1,-2.480840310E-2,1.473999023E-2,1.847559348E-1
1.665685460E-1,1.650238037E-2,-1.461958513E-2,4.865884781E-2,5.342044831E-2
1.715363590E-1,-1.638655663E-1,-2.480946481E-3,-1.097459793E-1,1.972365556E-1
1.765064110E-1,-1.925010681E-1,-2.997952327E-2,-3.154616356E-1,3.707714614E-1
1.814789110E-1,-7.026386261E-2,-1.725946367E-2,-4.703354836E-1,4.758680138E-1
1.864520360E-1,1.196765900E-1,-3.747316822E-2,-3.410139084E-1,3.633417265E-1
1.914259420E-1,2.480692863E-1,-5.258998647E-2,-2.449369431E-2,2.547626711E-1
1.963895880E-1,5.478525162E-2,-2.244289964E-3,2.009348869E-1,2.082817549E-1
2.013538590E-1,-1.466035843E-1,-2.768163383E-2,8.572149277E-2,1.720670163E-1
2.063169320E-1,-1.492948532E-1,-4.772008210E-2,-1.837930679E-1,2.415492729E-1
2.112730780E-1,-6.363105774E-2,-2.303764597E-2,-3.944802284E-1,4.002427954E-1
2.162347440E-1,1.384253502E-1,-6.426831335E-2,-3.787021637E-1,4.082980804E-1
2.211979740E-1,2.560753822E-1,-6.035108119E-2,-5.894613266E-2,2.696136142E-1
2.261607860E-1,8.850765228E-2,4.105467349E-3,1.218843460E-1,1.506859422E-1
2.311246920E-1,-1.704931259E-1,-4.726617038E-2,-4.806518555E-3,1.769889812E-1
2.360899530E-1,-2.315168381E-1,5.252279341E-3,-1.446723938E-1,2.730526218E-1
2.410592760E-1,-2.001409531E-1,3.085070103E-2,-2.927336693E-1,3.559510753E-1
2.460290150E-1,2.668809891E-2,-3.290201724E-2,-3.836545944E-1,3.859865868E-1
2.509830260E-1,2.227182388E-1,-6.450157613E-3,-1.480016708E-1,2.674874072E-1
2.559384940E-1,2.201461792E-1,-1.575407386E-2,1.335215569E-1,2.579545255E-1
2.608969840E-1,1.149272919E-2,-2.945416793E-2,1.445064545E-1,1.479247992E-1
2.658575050E-1,-1.832728386E-1,-1.003302261E-2,-2.721071243E-2,1.855532748E-1
2.708208900E-1,-1.419591904E-1,-3.084588423E-2,-2.607421875E-1,2.984800976E-1
2.757878690E-1,6.730604172E-2,-5.583831295E-2,-4.145255089E-1,4.236501127E-1
2.807588070E-1,1.811056137E-1,-2.430878580E-2,-1.294655800E-1,2.239452986E-1
2.857319320E-1,1.823701859E-1,-2.163312584E-2,1.708397865E-1,2.508248582E-1
2.907068280E-1,-1.381969452E-2,-8.442252874E-5,1.815633774E-1,1.820885803E-1
2.956645880E-1,-2.133059502E-1,1.406786963E-2,-4.727649689E-2,2.189346946E-1
3.006254210E-1,-1.764779091E-1,-9.677812457E-3,-2.998857498E-1,3.480942048E-1
3.055872960E-1,-5.341815948E-2,-4.663392901E-3,-4.186148643E-1,4.220351308E-1
3.105555260E-1,1.594085693E-1,-3.050361574E-2,-2.395439148E-1,2.893490101E-1
3.155254210E-1,2.580361366E-1,-3.716202080E-2,9.591484070E-2,2.777828653E-1
3.204878690E-1,6.999969482E-2,3.495179117E-3,2.446660995E-1,2.545067265E-1
3.254508380E-1,-1.360516548E-1,-2.004104108E-2,1.180906296E-1,1.812652556E-1
3.304154740E-1,-1.243920326E-1,-2.198019624E-2,-1.616020203E-1,2.051139190E-1
3.353827650E-1,-5.648183823E-2,-1.448330283E-2,-3.258814812E-1,3.310569496E-1
3.403512030E-1,1.447949409E-1,-4.254192114E-2,-2.829113007E-1,3.206465250E-1
3.453101610E-1,2.511057854E-1,-3.254580498E-2,-1.477384567E-2,2.536367706E-1
3.502701090E-1,8.218955994E-2,7.971294224E-3,1.385097504E-1,1.612563681E-1
3.552322440E-1,-1.831917763E-1,-2.752929926E-2,5.621242523E-2,1.935895812E-1
3.601952650E-1,-2.487549782E-1,1.057654247E-2,-1.002421379E-1,2.684015436E-1
3.651596400E-1,-1.719141006E-1,3.366611898E-3,-2.707428932E-1,3.207296468E-1
3.701247960E-1,8.544111252E-2,-3.676187992E-2,-3.467979431E-1,3.590549162E-1
3.750884940E-1,2.449269295E-1,-1.978051662E-2,-7.772874832E-2,2.577251015E-1
3.800491710E-1,1.825861931E-1,-1.014387608E-2,2.393326759E-1,3.011988478E-1
3.850135990E-1,-2.784824371E-2,-4.542057216E-2,2.099509239E-1,2.166055020E-1
3.899815150E-1,-1.692605019E-1,1.618191600E-4,-1.718997955E-2,1.701312407E-1
3.949524010E-1,-1.292548180E-1,-1.634393632E-2,-2.552642822E-1,2.865899266E-1
3.999255780E-1,6.389999390E-2,-3.029256314E-2,-3.178877831E-1,3.256585500E-1
4.048871400E-1,1.436238289E-1,1.016136259E-2,-1.059746742E-1,1.787783239E-1
4.098509940E-1,1.537351608E-1,2.798385918E-3,1.716260910E-1,2.304296981E-1
4.148164110E-1,-9.045600891E-3,-1.142254472E-2,1.953506470E-1,1.958932686E-1
4.197839110E-1,-1.674466133E-1,1.950900629E-2,-2.452516556E-2,1.703539063E-1
4.247523490E-1,-1.818947792E-1,1.459660381E-2,-2.250814438E-1,2.897592585E-1
4.296971400E-1,-4.723882675E-2,4.978939891E-3,-3.828630447E-1,3.857984028E-1
4.346436510E-1,1.474461555E-1,-1.406951994E-2,-2.599501610E-1,2.991862403E-1
4.395964110E-1,2.477750778E-1,-5.188928545E-2,1.543006897E-1,2.964686998E-1
4.445542760E-1,5.082607269E-2,-3.851056099E-3,3.060297966E-1,3.102456393E-1
4.495187030E-1,-1.463594437E-1,-1.794198155E-2,1.226816177E-1,1.918170503E-1
4.544876610E-1,-1.186671257E-1,-4.609652609E-2,-1.271533966E-1,1.799298828E-1
4.594632860E-1,-1.439094543E-3,-3.121391684E-2,-3.384461403E-1,3.398855241E-1
4.644421400E-1,1.810364723E-1,-6.634851545E-2,-2.352709770E-1,3.041854080E-1
4.694229740E-1,2.550888062E-1,-5.867338926E-2,5.579137802E-2,2.676294892E-1
4.744041190E-1,6.753969193E-2,1.537374780E-2,1.521258354E-1,1.671533186E-1
4.793544320E-1,-1.724638939E-1,-3.454674035E-2,4.624891281E-2,1.818687271E-1
4.843064110E-1,-2.060647011E-1,1.081074774E-2,-7.979059219E-2,2.212375915E-1
4.892620360E-1,-1.612386703E-1,4.866201431E-2,-1.901030540E-1,2.539784865E-1
4.942234420E-1,3.943872452E-2,-8.662782609E-3,-3.110728264E-1,3.136825786E-1
4.991894320E-1,2.335419655E-1,2.216961607E-2,-1.208214760E-1,2.638771884E-1
5.041601610E-1,1.958160400E-1,5.175366998E-3,1.928405762E-1,2.748785073E-1
5.091337550E-1,-2.899551392E-2,-3.047319502E-2,2.594504356E-1,2.628381327E-1
5.141073490E-1,-1.900343895E-1,1.254102588E-2,3.650569916E-2,1.939149623E-1
5.190735990E-1,-1.338229179E-1,-2.542718500E-2,-2.835102081E-1,3.145364100E-1
5.240407340E-1,1.069331169E-1,-6.306890398E-2,-4.037714005E-1,4.224259958E-1
5.290079210E-1,1.797375679E-1,-1.279131323E-2,-7.060003281E-2,1.935292630E-1
5.339755780E-1,1.260533333E-1,-4.602785408E-2,2.664361000E-1,2.983223116E-1
5.389443800E-1,-4.372072220E-2,-3.372243792E-2,2.449784279E-1,2.511237434E-1
5.439158380E-1,-2.023935318E-1,-4.908785224E-3,-5.839824677E-2,2.107073637E-1
5.488843800E-1,-1.673054695E-1,-2.384906262E-2,-2.735390663E-1,3.215330756E-1
5.538353170E-1,-6.846141815E-2,-6.983399391E-3,-3.538560867E-1,3.604855944E-1
5.587867240E-1,1.103672981E-1,-9.353034198E-3,-1.680908203E-1,2.013031138E-1
5.637399010E-1,2.045211792E-1,-2.133563161E-2,1.320681572E-1,2.443892798E-1
5.686968280E-1,2.230453491E-2,2.561017871E-3,2.375335693E-1,2.385922204E-1
5.736590150E-1,-1.583628654E-1,-1.886427402E-2,1.096773148E-1,1.935556028E-1
5.786252130E-1,-1.309251785E-1,-1.873317361E-2,-9.051656723E-2,1.602672241E-1
5.835956820E-1,3.057003021E-3,-2.562201768E-2,-2.936277390E-1,2.947593631E-1
5.885689110E-1,1.455650330E-1,-6.577554345E-2,-2.863621712E-1,3.279007381E-1
5.935421920E-1,2.348551750E-1,-5.112864822E-2,2.935409546E-3,2.403741012E-1
5.985155260E-1,2.635717392E-2,-1.279257983E-2,1.807732582E-1,1.831319786E-1
6.034849010E-1,-1.805124283E-1,-6.734154373E-2,8.429956436E-2,2.102998736E-1
6.084550050E-1,-2.312083244E-1,-1.447379589E-2,-3.035926819E-2,2.336417455E-1
6.134180260E-1,-1.486563683E-1,-4.820689559E-3,-2.388029099E-1,2.813339379E-1
6.183818800E-1,7.103681564E-2,-1.424980164E-2,-3.411402702E-1,3.487491505E-1
6.233438070E-1,2.156043053E-1,-2.441622317E-3,-6.787395477E-2,2.260487817E-1
6.283010460E-1,1.855430603E-1,4.568055272E-3,2.529931068E-1,3.137715833E-1
